snapshot,done,rate,baseline,dp_out,rel_err
1,1000,10.455316158134163,142695.3873247289,153036.8627060365,0.07247238733634569
2,2000,10.508424780735586,144117.0645403442,148884.78834846703,0.03308229891671259
3,3000,10.458109447114035,145564.16181984093,154232.68564988388,0.05955122278498495
4,4000,10.4021627073376,146986.65381750942,157584.50889298547,0.07210079827134351
5,5000,10.371015048024596,148413.6661385552,161908.41685017635,0.0909266044208003
6,6000,10.315795094582054,149902.6400385588,169333.86290122694,0.12962562138778824
7,7000,10.284864298431406,151419.47081250223,173031.32383023523,0.14272836182669166
8,8000,10.240014959396854,152889.23155060087,158637.74145107786,0.037599181068383065
9,9000,10.101095196582673,154455.9074783526,161175.12362394435,0.04350248724888343
10,10000,10.015835107842207,155976.5525526807,172039.3062878893,0.10298184869667168
